menu_date,meal_period,station,course,meal_name,description,calories,calories_from_fat,fat_g,sat_fat_g,sodium_mg,carbohydrates_g,fiber_g,sugar_g,added_sugar_g,protein_g,cholesterol_mg,potassium_mg,iron_mg,calcium_mg,vitamin_a_mcg,vitamin_c_mcg,vitamin_d_mg,portion,portion_size,diet_tags,allergen_tags,is_plant_based,is_vegetarian,is_vegan,is_mindful,source_location_id,source_menu_id
2026-04-23,Breakfast,Bliss,Bliss,Cranberry Streusel Coffee Cake,Coffee cake baked with cranberries and streusel,311,88,10,5,415,53,0,0,,3,8,66,1,18,4,1,0,SLC=6x8,SLC=6x8,vegetarian,eggs;gluten;milk;soybean;wheat,false,true,false,false,97451005,151204
2026-04-23,Breakfast,Bliss,Bliss,Apple Cinnamon Monkey Bread,Individual bundt cake monkey bread flavored with apples and cinnamon,348,79,9,5,418,60,0,0,,7,19,97,0,24,1,0,1,EA,EA,vegetarian,gluten;milk;wheat,false,true,false,false,97451005,151204
2026-04-23,Breakfast,Simple Servings,Simple Servings,Home Fried Potatoes,"Diced potatoes caramelized with onions, salt and pepper",92,53,6,0,87,9,0,0,,1,0,230,0,7,3,5,0,1/2 CUP,1/2 CUP,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-23,Breakfast,Simple Servings,Simple Servings,Apple Glazed Bacon,"Smoked bacon glazed with apple juice, maple syrup and black pepper",83,51,6,2,283,2,0,0,,6,17,101,0,6,3,8,0,2 EA,2 EA,,,false,false,false,false,97451005,151204
2026-04-23,Breakfast,Hometown,Hometown,Chocolate Chip Plant Pancakes,Scratch Plant Pancakes with Chocolate Chips,600,273,30,14,990,81,0,0,,8,0,326,0,366,0,0,0,2 PANCAKE,2 PANCAKE,plantbased;vegan;vegetarian,gluten;soybean;wheat,true,true,true,false,97451005,151204
2026-04-23,Breakfast,Hometown,Hometown,Vanilla Belgian Waffle,Vanilla Belgian Waffle,261,27,3,1,1155,53,0,0,,5,0,96,0,20,5,0,0,EA,EA,vegetarian,gluten;milk;wheat,false,true,false,false,97451005,151204
2026-04-23,Breakfast,Diner,Diner,Caramelized Onions,Caramelized Onions,18,6,1,0,88,3,0,0,,,0,46,0,6,1,1,0,OZ,OZ,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-23,Breakfast,Diner,Diner,"Pepper Jack Cheese, Sliced","Pepper Jack Cheese, Sliced",53,39,4,3,92,0,0,0,,3,13,11,0,100,65,0,0,SLC,SLC,vegetarian,milk,false,true,false,false,97451005,151204
2026-04-23,Breakfast,Diner,Diner,Scrambled Tofu,"Tofu scrambled with scallions, garlic, jalapeno peppers and seasoned with paprika, oregano and lime juice",97,48,5,1,163,4,0,0,,8,0,149,1,116,230,4,0,3 OZ,3 OZ,plantbased;vegan;vegetarian;mindful,soybean,true,true,true,true,97451005,151204
2026-04-23,Breakfast,Diner,Diner,Everything Omelet,"Cage free egg omelet with green onions, green pepper, mushrooms, spinach, tomatoes, cheddar and mozzarella cheeses",286,189,21,8,267,4,0,0,,19,456,333,0,183,671,16,3,EA,EA,vegetarian,eggs;milk;soybean,false,true,false,false,97451005,151204
