menu_date,meal_period,station,course,meal_name,description,calories,calories_from_fat,fat_g,sat_fat_g,sodium_mg,carbohydrates_g,fiber_g,sugar_g,added_sugar_g,protein_g,cholesterol_mg,potassium_mg,iron_mg,calcium_mg,vitamin_a_mcg,vitamin_c_mcg,vitamin_d_mg,portion,portion_size,diet_tags,allergen_tags,is_plant_based,is_vegetarian,is_vegan,is_mindful,source_location_id,source_menu_id
2026-04-25,Brunch,Bliss,Bliss,Chocolate Brownie,House baked chocolate brownie,227,60,7,3,179,39,0,0,,3,0,163,0,2,0,0,0,SLC=6x8,SLC=6x8,vegetarian,eggs;gluten;milk;soybean;wheat,false,true,false,false,97451005,151204
2026-04-25,Brunch,Bliss,Bliss,Two Carnival Cookies,Cookies stuffed with colored candy,217,83,9,4,201,32,0,0,,2,9,43,0,7,215,0,0,2 Cookies,2 Cookies,vegetarian,eggs;gluten;milk;soybean;wheat,false,true,false,false,97451005,151204
2026-04-25,Brunch,VegOut,VegOut,Moroccan Summer Vegetable Bowl,Moroccan Summer Vegetable Bowl,326,179,20,2,178,34,0,0,,6,0,494,0,62,6011,45,0,Bowl,Bowl,plantbased;vegetarian;mindful,gluten;wheat,true,true,false,true,97451005,151204
2026-04-25,Brunch,Stacks Salad Bar,Stacks Salad Bar,Garden Pasta Salad,"Rotini, olives, peppers, onions, carrots, celery, broccoli, tomatoes and Italian dressing",73,10,1,0,178,14,0,0,,2,0,146,1,18,479,16,0,3 OZ,3 OZ,plantbased;vegetarian;mindful,gluten;wheat,true,true,false,true,97451005,151204
2026-04-25,Brunch,Hometown,Hometown,Sliced Green Onions,Sliced Green Onions,1,0,0,0,1,0,0,0,,,0,12,0,3,25,1,0,TBSP,TBSP,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-25,Brunch,Hometown,Hometown,Creamy Macaroni & Cheese,Macaroni baked with creamy mild cheddar sauce,198,74,8,3,203,24,0,0,,8,16,111,1,143,148,0,0,4 OZ,4 OZ,vegetarian,gluten;milk;wheat,false,true,false,false,97451005,151204
2026-04-25,Brunch,Hometown,Hometown,Roast Pork Loin with Mustard Herb Crust,"Pork loin roasted with a honey, mustard, garlic, rosemary and thyme paste",204,111,12,4,148,4,0,0,,18,54,291,1,22,35,2,1,3 OZ,3 OZ,,,false,false,false,false,97451005,151204
2026-04-25,Brunch,Hometown,Hometown,Crispy Tofu,Crispy Tofu,63,24,3,0,17,4,0,0,,5,0,75,1,75,0,0,0,2 OZ,2 OZ,plantbased;vegetarian;mindful,gluten;sesame;soybean;wheat,true,true,false,true,97451005,151204
2026-04-25,Brunch,Hometown,Hometown,Garlic Roasted Green Beans,"Oven roasted green beans with garlic, kosher salt and black pepper",47,25,3,0,113,5,0,0,,1,0,132,1,35,205,3,0,3 OZ,3 OZ,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-25,Brunch,Hometown,Hometown,Mushroom Demi Glace,Mushroom Demi Glace,36,20,2,1,65,3,0,0,,1,<5,43,0,8,21,1,0,1/4 CUP,1/4 CUP,,gluten;milk;soybean;wheat,false,false,false,false,97451005,151204
2026-04-25,Brunch,Hometown,Hometown,Vanilla Belgian Waffle,Vanilla Belgian Waffle,261,27,3,1,1155,53,0,0,,5,0,96,0,20,5,0,0,EA,EA,vegetarian,gluten;milk;wheat,false,true,false,false,97451005,151204
2026-04-25,Brunch,Hometown,Hometown,Peach Cobbler French Toast,French toast topped with peach cobbler filling and cinnamon streusel,322,35,4,1,550,60,0,0,,10,0,297,0,28,1,0,1,ENTREE,ENTREE,plantbased;vegan;vegetarian;mindful,gluten;soybean;wheat,true,true,true,true,97451005,151204
2026-04-25,Brunch,Diner,Diner,Braised Shredded Chicken,"Seared chicken simmered with onions, garlic and chicken broth",115,33,4,1,64,2,0,0,,18,48,182,1,15,7,1,0,3 OZ,3 OZ,mindful,,false,false,false,true,97451005,151204
2026-04-25,Brunch,Diner,Diner,Fresh Italian Parsley,Fresh Italian Parsley,,0,0,0,0,0,0,0,,,0,2,0,0,17,0,0,1/4 TSP,1/4 TSP,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-25,Brunch,Diner,Diner,Harissa Tofu Potato Bowl,"Yogurt mashed potatoes with harissa-spiced tofu, cauliflower and crispy chickpeas finished with skhug yogurt drizzle",282,134,15,3,371,26,0,0,,12,0,782,0,151,129,70,0,Bowl,Bowl,vegetarian;mindful,milk;soybean,false,true,false,true,97451005,151204
2026-04-25,Brunch,Diner,Diner,Baked Garlic Breadstick,Baked Garlic Breadstick,86,26,3,1,126,13,0,0,,2,0,32,1,5,1,0,0,EA,EA,vegetarian,eggs;gluten;soybean;wheat,false,true,false,false,97451005,151204
2026-04-25,Brunch,Diner,Diner,Spinach with Garlic & Onions,Spinach with Garlic & Onions,12,3,0,0,24,2,0,0,,1,0,79,0,38,1739,1,0,OZ,OZ,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-25,Brunch,Diner,Diner,Lemon Wedge,Lemon Wedge,2,0,0,0,0,1,0,0,,,0,10,0,2,1,4,0,EA,EA,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-25,Brunch,Simple Servings,Simple Servings,Grilled Kielbasa,Grilled Kielbasa,185,157,17,6,564,1,0,0,,6,34,104,0,11,1,0,1,2 OZ,2 OZ,,,false,false,false,false,97451005,151204
2026-04-25,Brunch,Simple Servings,Simple Servings,Marinated Portobello with Quinoa Pilaf,"Balsamic-sweetened portobello mushrooms with a quinoa & zucchini pilaf seasoned with fresh basil, rosemary & garlic",172,70,8,1,168,21,0,0,,6,0,572,0,31,304,9,10,ENTREE,ENTREE,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-25,Brunch,Simple Servings,Simple Servings,Grilled Lemon Chicken Breast,"Grilled chicken breast marinated in lemon juice, basil and garlic",224,87,10,2,126,0,0,0,,32,88,269,1,17,16,1,0,ENTREE,ENTREE,mindful,,false,false,false,true,97451005,151204
2026-04-25,Brunch,Simple Servings,Simple Servings,Agave Roasted Peaches,Agave Roasted Peaches,18,1,0,0,0,4,0,0,,,0,48,0,2,50,30,0,OZ,OZ,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-25,Brunch,Simple Servings,Simple Servings,Roasted Chile & Corn Breakfast Tostada,"Crispy yellow corn tostada topped with refried beans, roasted corn, green chile peppers & avocado",221,62,7,1,168,35,0,0,,7,0,522,0,45,91,6,0,EA,EA,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-25,Brunch,Simple Servings,Simple Servings,Garlic Roasted Red Bliss Potatoes,"Red potatoes, canola oil, garlic, kosher salt, black pepper, fresh Italian parsley",95,19,2,0,316,18,0,0,,2,0,505,1,13,34,10,0,4 OZ,4 OZ,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-25,Brunch,Simple Servings,Simple Servings,Steamed Cut Broccoli,Steamed Cut Broccoli,29,3,0,0,27,5,0,0,,3,0,240,1,63,702,64,0,4 OZ,4 OZ,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-25,Brunch,Omelet Bar,Omelet Bar,Cage Free Hard Cooked Egg,Cage Free Hard Cooked Egg,71,43,5,2,148,0,0,0,,6,185,69,1,28,161,0,41,EA,EA,vegetarian,eggs,false,true,false,false,97451005,151204
2026-04-25,Brunch,Omelet Bar,Omelet Bar,Scrambled Tofu,"Tofu scrambled with scallions, garlic, jalapeno peppers and seasoned with paprika, oregano and lime juice",97,48,5,1,163,4,0,0,,8,0,149,1,116,230,4,0,3 OZ,3 OZ,plantbased;vegan;vegetarian;mindful,soybean,true,true,true,true,97451005,151204
2026-04-25,Brunch,Omelet Bar,Omelet Bar,Turkey Sausage Patty,Turkey Sausage Patty,60,34,4,1,129,0,0,0,,5,23,68,0,0,0,0,0,EA,EA,,,false,false,false,false,97451005,151204
2026-04-25,Brunch,Omelet Bar,Omelet Bar,Bacon Slices,Bacon Slices,70,47,5,2,262,0,0,0,,5,16,75,0,2,1,0,0,2 EA,2 EA,,,false,false,false,false,97451005,151204
2026-04-25,Brunch,Omelet Bar,Omelet Bar,Everything Omelet,"Cage free egg omelet with green onions, green pepper, mushrooms, spinach, tomatoes, cheddar and mozzarella cheeses",286,189,21,8,267,4,0,0,,19,456,333,0,183,671,16,3,EA,EA,vegetarian,eggs;milk;soybean,false,true,false,false,97451005,151204
2026-04-25,Brunch,Omelet Bar,Omelet Bar,Hash Browned Potatoes,Crispy shredded breakfast potatoes,117,44,5,0,410,17,0,0,,2,0,441,1,11,6,10,0,4 OZ,4 OZ,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-25,Brunch,Omelet Bar,Omelet Bar,Scrambled Eggs with Cheddar,Cage free eggs with cheddar cheese,212,138,15,7,404,1,0,0,,16,365,144,0,190,446,0,77,4 OZ,4 OZ,vegetarian,eggs;milk,false,true,false,false,97451005,151204
2026-04-25,Brunch,Omelet Bar,Omelet Bar,Shredded Cheddar Cheese,Shredded Cheddar Cheese,111,82,9,5,180,1,0,0,,6,27,21,0,195,205,0,0,OZ,OZ,vegetarian,milk,false,true,false,false,97451005,151204
2026-04-25,Brunch,Slices,Slices,Pepperoni Pizza,"Pizza crust topped with tomato sauce, shredded mozzarella cheese and pepperoni",278,93,10,5,820,34,0,0,,13,21,193,0,179,111,0,1,SLC=1/8,SLC=1/8,,gluten;milk;wheat,false,false,false,false,97451005,151204
