menu_date,meal_period,station,course,meal_name,description,calories,calories_from_fat,fat_g,sat_fat_g,sodium_mg,carbohydrates_g,fiber_g,sugar_g,added_sugar_g,protein_g,cholesterol_mg,potassium_mg,iron_mg,calcium_mg,vitamin_a_mcg,vitamin_c_mcg,vitamin_d_mg,portion,portion_size,diet_tags,allergen_tags,is_plant_based,is_vegetarian,is_vegan,is_mindful,source_location_id,source_menu_id
2026-04-26,Brunch,Bliss,Bliss,Raspberry White Chocolate Scone,Raspberry White Chocolate Scone,264,108,12,10,523,35,0,0,,4,0,46,0,76,1,1,0,Scone,Scone,vegetarian,eggs;gluten;milk;soybean;wheat,false,true,false,false,97451005,151204
2026-04-26,Brunch,Bliss,Bliss,Two Chocolate Chip Cookies,Just baked chewy cookies with chocolate chips galore,227,95,11,5,190,31,0,0,,2,7,48,0,7,70,0,0,2 Cookies,2 Cookies,vegetarian,eggs;gluten;milk;soybean;wheat,false,true,false,false,97451005,151204
2026-04-26,Brunch,Bliss,Bliss,Butterscotch Pudding,Butterscotch Pudding,113,14,2,1,256,24,0,0,,1,0,32,0,21,0,0,0,#8 SCOOP,#8 SCOOP,vegetarian,milk,false,true,false,false,97451005,151204
2026-04-26,Brunch,VegOut,VegOut,Black-Eyed Pea Fritter Bowl,Black-Eyed Pea Fritter Bowl,431,267,30,3,798,38,0,0,,7,0,711,0,52,632,23,0,Bowl,Bowl,plantbased;vegan;vegetarian,gluten;wheat,true,true,true,false,97451005,151204
2026-04-26,Brunch,Stacks Salad Bar,Stacks Salad Bar,Country-Style Potato Salad,"Chef potatoes, hard cooked egg, celery, onion, red bell pepper, creamy mayonnaise mustard dressing",110,66,7,1,183,9,0,0,,2,39,237,1,14,103,9,0,3 OZ,3 OZ,vegetarian,eggs,false,true,false,false,97451005,151204
2026-04-26,Brunch,Diner,Diner,Pico de Gallo,"Fresh salsa of bell peppers, plum tomatoes, onions, jalapeno, lime juice and cilantro",3,0,0,0,7,1,0,0,,,0,22,0,2,37,4,0,TBSP,TBSP,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-26,Brunch,Diner,Diner,Brown Rice,Brown Rice,134,9,1,0,4,26,0,0,,3,0,89,0,6,1,0,0,4 OZ,4 OZ,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-26,Brunch,Diner,Diner,Shredded Chicken Breast,Shredded poached chicken breast,91,18,2,1,42,0,0,0,,17,47,141,1,8,7,0,0,2 OZ,2 OZ,mindful,,false,false,false,true,97451005,151204
2026-04-26,Brunch,Diner,Diner,Diced Avocado,Diced Avocado,47,39,4,1,2,2,0,0,,1,0,144,0,4,25,2,0,OZ,OZ,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-26,Brunch,Diner,Diner,Queso,"A creamy blend of cheddar cheese, jalapeno, red peppers, tomato, cayenne, cilantro and green chilies",116,75,8,5,517,5,0,0,,6,26,159,0,187,77,7,0,1/4 CUP,1/4 CUP,vegetarian,milk,false,true,false,false,97451005,151204
2026-04-26,Brunch,Diner,Diner,Chipotle Lime Crema,Crema,26,22,2,1,60,1,0,0,,,<5,15,0,10,13,1,0,TBSP,TBSP,vegetarian,eggs;milk,false,true,false,false,97451005,151204
2026-04-26,Brunch,Diner,Diner,House Fried Yellow Tortilla Chips,Lightly salted crispy yellow corn tortilla chips,382,121,13,2,252,60,0,0,,6,0,185,1,67,0,0,0,4 OZ,4 OZ,plantbased;vegan;vegetarian,,true,true,true,false,97451005,151204
2026-04-26,Brunch,Diner,Diner,Steamed Aztec Corn,"Steamed corn, black beans, tomato, red onions, green onions, red peppers and fresh cilantro",66,4,0,0,207,14,0,0,,3,0,231,1,23,194,10,0,1/2 CUP,1/2 CUP,plantbased;vegan;vegetarian;mindful,,true,true,true,true,97451005,151204
2026-04-26,Brunch,Simple Servings,Simple Servings,Roasted Spiced Apples,"Apple wedges marinated in orange juice, maple syrup and lemon juice",16,1,0,0,0,4,0,0,,,0,29,0,2,11,1,0,OZ,OZ,plantbased;vegetarian;mindful,,true,true,false,true,97451005,151204
2026-04-26,Brunch,Simple Servings,Simple Servings,Turkey Sausage Patty,Turkey Sausage Patty,62,42,5,2,83,0,0,0,,6,36,0,0,27,0,0,0,PATTY,PATTY,,,false,false,false,false,97451005,151204
